there	EX
are	VBP
so	RB
many	JJ
answers	NNS
for	IN
php	NNP
and	CC
mysql	NNP
,	,
but	CC
here	RB
is	VBZ
code	NN
for	IN
php	NNP
and	CC
oracle	NNP
for	IN
preventing	VBG
sql	NNP
injection	NN
as	RB
well	RB
as	IN
regular	JJ
use	NN
of	IN
oci	NNP
8	CD
drivers	NNS
:	:
$	C
c	C
=	C
oci_connect	C
(	C
$	C
username	C
,	C
$	C
password	C
,	C
"	C
(	C
description	C
=	C
(	C
address_list	C
=	C
(	C
address	NN
=	SYM
(	-LRB-
protocol	C
=	C
tcp	C
)	C
(	C
host	C
=	C
$	C
servername	C
)	C
(	C
port	NN
=	SYM
1521	CD
)	-RRB-
)	-RRB-
)	-RRB-
(	-LRB-
connect_data	C
=	C
(	C
sid	C
=	C
$	C
databasename	C
)	C
))"	C
)	C
;	C
$	C
strquery	C
=	C
"update	C
table	C
set	JC
field	NN
=	C
:	C
xx	C
where	C
id	C
=	C
123	ER
"$stmt	ER
=	ER
ociparse	ER
(	ER
$	C
c	C
,	C
$	C
strquery	C
)	C
;	C
ocibindbyname	C
(	C
$	C
stmt	C
,	C
'	C
:	C
xx	C
'	C
,	C
$	C
fieldval	C
)	C
;	C
$	C
ok	UH
=	SYM
ociexecute	C
(	C
$	C
stmt	C
)	C
;	C
@	JC
cryptic	JC
?	JC
this	JC
code	JC
is	VBZ
for	IN
oracle	NNP
php	NNP
connection	NN
simple	JJ
update	NN
query	NN
using	VBG
help	NN
of	IN
query	NN
parse	VBP
which	WDT
is	VBZ
used	VBN
to	TO
privent	C
sq	C
-	C
injection	NN
used	VBN
in	IN
oci8driverphp.net/manual/en/function.oci-parse.php	URI
salt	NN
makes	VBZ
rainbow	NN
table	NN
attacks	NNS
much	RB
more	RBR
difficult	JJ
since	IN
it	PRP
makes	VBZ
a	DT
single	JJ
password	NN
hash	NN
much	RB
harder	JJR
to	TO
crack	VB
.	.
imagine	VB
you	PRP
have	VBP
a	DT
horrid	JJ
password	NN
of	IN
just	RB
the	DT
number	NN
1	CD
.	.
a	DT
rainbow	NN
table	NN
attack	NN
would	MD
crack	VB
this	DT
immediately	RB
.	.
now	RB
imagine	VB
each	DT
password	NN
in	IN
the	DT
db	NN
is	VBZ
salted	VBN
with	IN
a	DT
long	JJ
random	JJ
value	NN
of	IN
many	JJ
random	JJ
characters	NNS
.	.
now	RB
your	PRP$
lousy	JJ
password	NN
of	IN
"1	CD
"	''
is	VBZ
stored	VBN
in	IN
the	DT
db	NN
as	IN
a	DT
hash	NN
of	IN
1	CD
plus	NN
a	DT
bunch	NN
of	IN
random	JJ
characters	NNS
(	-LRB-
the	DT
salt	NN
)	-RRB-
,	,
so	RB
in	IN
this	DT
example	NN
the	DT
rainbow	NN
table	NN
needs	VBZ
to	TO
have	VB
the	DT
hash	NN
for	IN
something	NN
like	IN
:	:
1	CD
.	.
so	RB
assuming	VBG
your	PRP$
salt	NN
is	VBZ
something	NN
secure	JJ
and	CC
random	JJ
,	,
say	VB
(	-LRB-
)	-RRB-
%	SYM
isldghasklu	JC
(	JC
%	JC
#	SYM
%	SYM
#	SYM
,	,
the	DT
hacker	NN
's	POS
rainbow	NN
table	NN
would	MD
need	VB
to	TO
have	VB
an	DT
entry	NN
for	IN
1	CD
*	SYM
(	-LRB-
)	-RRB-
%	SYM
isldghasklu	JC
(	JC
*	JC
%	JC
#	SYM
%	SYM
#	SYM
.	.
now	RB
using	VBG
a	DT
rainbow	NN
table	NN
on	IN
even	RB
this	DT
simple	JJ
password	NN
is	VBZ
no	RB
longer	RB
practical	JJ
.	.
sure	JJ
tom	NNP
,	,
i	PRP
agree	VBP
,	,
but	CC
the	DT
point	NN
is	VBZ
the	DT
hacker	NN
has	VBZ
to	TO
do	VB
that	DT
ugly	JJ
time	NN
-	:
consuming	VBG
process	NN
once	RB
for	IN
each	DT
password	NN
if	IN
salt	NN
is	VBZ
used	VBN
.	.
thus	RB
,	,
salt	NN
does	VBZ
make	VB
using	VBG
a	DT
rainbow	NN
table	NN
harder	JJR
.	.
on	IN
this	DT
issue	NN
with	IN
#	SYM
3	CD
.	.
while	IN
i	PRP
would	MD
normally	CCM
say	VB
it	PRP
's	VBZ
rarely	RB
a	DT
good	JJ
idea	NN
to	TO
say	VB
something	NN
is	VBZ
"	``
always	RB
"	''
the	DT
best	JJS
way	NN
to	TO
do	VB
something	NN
,	,
i	PRP
would	MD
say	VB
that	IN
with	IN
primary	JJ
keys	NNS
in	IN
databases	NNS
,	,
because	IN
of	IN
the	DT
way	NN
that	IN
data	NNS
is	VBZ
stored	VBN
,	,
with	IN
any	DT
table	NN
of	IN
significant	JJ
size	NN
that	WDT
is	VBZ
expected	VBN
to	TO
continue	VB
to	TO
grow	VB
,	,
surrogate	JJ
keys	NNS
are	VBP
nearly	RB
always	RB
the	DT
best	JJS
choice	NN
.	.
i	PRP
sympathize	VBP
with	IN
@	USR
david-t	USR
-	:
macknet	NN
about	IN
what	WP
the	DT
data	NN
is	VBZ
about	IN
,	,
but	CC
in	IN
large	JJ
tables	NNS
,	,
sorting	NN
your	PRP$
physical	JJ
data	NNS
by	IN
a	DT
natural	JJ
key	NN
could	MD
end	VB
up	RP
taking	VBG
a	DT
long	JJ
time	NN
in	IN
tables	NNS
with	IN
millions	NNS
of	IN
rows	NNS
.	.
a	DT
pk	NN
on	IN
a	DT
surrogate	NN
identity	NN
always	RB
sorts	NNS
to	TO
the	DT
end	NN
.	.
i	PRP
hate	VBP
it	PRP
when	WRB
developers	NNS
use	VBP
nested	VBN
select	C
statements	NNS
or	CC
even	RB
functions	NNS
the	DT
return	NN
the	DT
result	NN
of	IN
a	DT
select	C
statement	NN
inside	IN
the	DT
"	``
select	C
"	''
portion	NN
of	IN
a	DT
query	NN
.	.
i	PRP
'm	VBP
actually	RB
surprised	VBN
i	PRP
do	VBP
n't	RB
see	VB
this	DT
anywhere	RB
else	RB
here	RB
,	,
perhaps	RB
i	PRP
overlooked	VBD
it	PRP
,	,
although	IN
@	JC
adam	JC
has	VBZ
a	DT
similar	JJ
issue	NN
indicated	VBN
.	.
example	NN
:	:
select	C
(	C
select	C
top	NN
1	CD
somevalue	NN
from	IN
sometable	JJ
where	C
somedate	C
=	C
c	C
.	C
date	C
order	C
by	C
somevalue	C
desc	C
)	C
as	IN
firstval	C
,	,
(	-LRB-
select	C
othervalue	C
from	C
someothertable	C
where	C
someothercriteria	C
=	C
c	C
.	C
criteria	NNS
)	-RRB-
as	IN
secondval	C
from	C
mytable	C
c	C
in	IN
this	DT
scenario	NN
,	,
if	IN
mytable	JJ
returns	VBZ
10000	CD
rows	NNS
the	DT
result	NN
is	VBZ
as	IN
if	IN
the	DT
query	NN
just	RB
ran	VBD
20001	CD
queries	NNS
,	,
since	IN
it	PRP
had	VBD
to	TO
run	VB
the	DT
initial	JJ
query	NN
plus	CC
query	NN
each	DT
of	IN
the	DT
other	JJ
tables	NNS
once	RB
for	IN
each	DT
line	NN
of	IN
result	NN
.	.
developers	NNS
can	MD
get	VB
away	RB
with	IN
this	DT
working	VBG
in	IN
a	DT
development	NN
environment	NN
where	WRB
they	PRP
are	VBP
only	RB
returning	VBG
a	DT
few	JJ
rows	NNS
of	IN
data	NNS
and	CC
the	DT
sub	JC
tables	NNS
usually	RB
only	RB
have	VB
a	DT
small	JJ
amount	NN
of	IN
data	NNS
,	,
but	CC
in	IN
a	DT
production	NN
environment	NN
,	,
this	DT
kind	NN
of	IN
query	NN
can	MD
become	VB
exponentially	RB
costly	JJ
as	IN
more	JJR
data	NNS
is	VBZ
added	VBN
to	TO
the	DT
tables	NNS
.	.
a	DT
better	JJR
(	-LRB-
not	RB
necessarily	RB
perfect	JJ
)	-RRB-
example	NN
would	MD
be	VB
something	NN
like	IN
:	:
